CID,GENDER,AGE,SPEND
0,MALE,22,253.6341652279203
1,FEMALE,28,201.43819017247932
2,MALE,29,160.0
3,MALE,28,161.20741855149546
4,MALE,21,160.0
5,MALE,29,315.7367244175392
6,FEMALE,25,245.14234695366682
7,FEMALE,28,236.16945915861265
8,FEMALE,29,199.85156642024953
9,FEMALE,21,210.433501629565
10,FEMALE,21,195.03474983555202
11,FEMALE,21,191.95373140209705
12,MALE,27,197.49723671116453
13,MALE,29,252.71063887641355
14,FEMALE,21,219.88253644482427
15,FEMALE,26,232.5368183082106
16,FEMALE,28,225.7833780780584
17,FEMALE,29,196.07684676119405
18,FEMALE,28,211.57249326775036
19,MALE,28,292.8227343421966
20,,25,208.81686466122704
21,FEMALE,27,180.7680647622634
22,MALE,29,199.7317356210441
23,FEMALE,26,130.9757814972765
24,MALE,28,278.6463778015451
25,FEMALE,27,268.13120946024657
26,MALE,28,288.3674901122757
27,MALE,25,160.0
28,FEMALE,25,254.1909792848777
29,FEMALE,25,220.94964983944476
30,MALE,24,160.0
31,MALE,26,270.1450378172559
32,FEMALE,25,250.70344904431602
33,FEMALE,28,221.5272208392278
34,MALE,24,160.0
35,MALE,21,160.0
36,MALE,22,160.0
37,MALE,24,160.0
38,FEMALE,25,
39,FEMALE,22,195.2219938178398
40,FEMALE,24,204.35402649331655
41,FEMALE,29,159.22367692760008
42,FEMALE,26,199.39085278393816
43,MALE,22,273.8191381960203
44,FEMALE,23,209.5371520680086
45,FEMALE,27,208.65570292325742
46,FEMALE,26,217.55314250711896
47,MALE,29,288.42719037209554
48,MALE,22,160.0
49,FEMALE,27,190.99608008519934
50,FEMALE,23,213.69259532963184
51,FEMALE,26,205.89952091160774
52,MALE,29,221.19585540862707
53,MALE,29,412.62154573240355
54,FEMALE,26,232.03980933564335
55,MALE,22,179.52759067052506
56,FEMALE,22,239.66140040344686
57,FEMALE,22,196.65777355152647
58,MALE,22,333.345272461934
59,MALE,28,273.15725190345313
60,FEMALE,26,
61,MALE,21,197.12909282151998
62,FEMALE,27,215.25753315321313
63,FEMALE,26,177.28454396518518
64,FEMALE,29,297.9779310810462
65,MALE,25,160.0
66,FEMALE,22,228.306274045822
67,FEMALE,23,208.03829598852622
68,FEMALE,26,230.61574631168443
69,FEMALE,22,214.93762373585034
70,FEMALE,23,147.23814667548118
71,FEMALE,23,201.6036722497306
72,FEMALE,24,195.47093320045826
73,FEMALE,22,209.24459943978061
74,MALE,28,196.05015868334527
75,FEMALE,26,222.6310416849329
76,FEMALE,21,178.8581918925684
77,FEMALE,25,
78,FEMALE,24,236.46823618390465
79,FEMALE,27,258.41505328721564
80,MALE,25,297.10110483011135
81,FEMALE,20,238.8105797664003
82,FEMALE,23,209.5323985605319
83,MALE,23,160.0
84,FEMALE,26,210.2581343557555
85,FEMALE,26,268.53118270865474
86,FEMALE,24,166.8083075217787
87,FEMALE,26,217.85026744273836
88,MALE,24,198.899049981331
89,FEMALE,23,267.0509576318464
90,FEMALE,24,191.00660050224775
91,FEMALE,22,206.13090398514703
92,MALE,25,169.85659312587222
93,FEMALE,20,196.2173817753457
94,FEMALE,25,180.03159119741022
95,FEMALE,21,219.28152210082334
96,MALE,26,178.2969555662943
97,MALE,25,273.6468561991039
98,FEMALE,26,187.2553892375414
99,MALE,28,163.1597802701104
100,MALE,22,314.88995782364566
101,MALE,25,284.1602771348455
102,FEMALE,23,151.95155939330803
103,FEMALE,27,187.686231681008
104,MALE,27,192.3399106697754
105,FEMALE,20,177.175430597682
106,MALE,20,207.53327909457226
107,FEMALE,21,130.6458281029437
108,FEMALE,25,138.44499610229428
109,FEMALE,28,221.6636956274308
110,MALE,21,160.0
111,MALE,26,292.37064992343534
112,FEMALE,29,220.82832381503914
113,FEMALE,21,183.3360264076731
114,FEMALE,29,166.72932019887992
115,MALE,27,282.99776551986656
116,FEMALE,24,154.54728271484728
117,FEMALE,22,
118,FEMALE,26,181.01664647133222
119,MALE,21,213.69562197376086
120,MALE,27,308.8591349910418
121,MALE,28,160.0
122,FEMALE,27,195.53536292207428
123,FEMALE,21,248.55416939137487
124,FEMALE,23,221.76980429002694
125,MALE,23,222.25333157662314
126,FEMALE,20,181.22953147283073
127,FEMALE,21,229.24251730744805
128,FEMALE,27,220.3654700729183
129,FEMALE,24,199.43581979852138
130,FEMALE,27,170.62630236114302
131,FEMALE,20,
132,FEMALE,28,249.4594152697428
133,FEMALE,20,184.37424804558427
134,MALE,28,172.4687117731722
135,FEMALE,28,215.31755349815563
136,FEMALE,22,202.51726311974213
137,MALE,25,160.0
138,MALE,29,234.60523073749326
139,MALE,23,285.36264939433715
140,MALE,23,160.0
141,FEMALE,22,177.53374639144403
142,MALE,26,160.0
143,FEMALE,20,180.3140194338214
144,MALE,26,250.1351746086653
145,FEMALE,23,198.74987101661446
146,FEMALE,23,183.11806805096484
147,MALE,21,236.347689352617
148,FEMALE,24,227.8292673047242
149,FEMALE,28,234.99809228842236
150,FEMALE,21,174.2832019237281
151,FEMALE,24,211.47716445503443
152,FEMALE,20,247.66107095742444
153,FEMALE,24,183.8875376287741
154,FEMALE,25,228.3822610224402
155,MALE,26,277.3798122568992
156,MALE,23,160.0
157,FEMALE,29,281.5719811137403
158,FEMALE,20,249.3597414084697
159,FEMALE,23,184.1803473648784
160,FEMALE,21,200.4539531106724
161,MALE,23,160.0
162,MALE,21,160.0
163,FEMALE,26,217.04526002165022
164,FEMALE,27,130.70857228547635
165,MALE,23,235.613413629363
166,FEMALE,29,231.8431813519959
167,FEMALE,27,195.2798856717506
168,FEMALE,27,212.85724937490681
169,FEMALE,28,203.13867936056215
170,FEMALE,25,234.9584311958899
171,FEMALE,21,207.3193274939192
172,FEMALE,24,204.15961660875257
173,MALE,27,160.0
174,FEMALE,25,241.95459119158414
175,MALE,26,342.1784113758472
176,FEMALE,29,231.90125441244152
177,MALE,26,160.0
178,,23,200.94318154197094
179,FEMALE,29,256.4458865975233
180,MALE,29,266.2211147097621
181,FEMALE,23,123.3036897266758
182,MALE,28,177.73059532177774
183,FEMALE,21,249.6003997000261
184,FEMALE,20,158.20989200902133
185,FEMALE,23,200.35028695462128
186,FEMALE,27,226.72410859105005
187,FEMALE,24,200.93987524345812
188,MALE,21,165.1592319686851
189,MALE,22,318.82369711910025
190,FEMALE,25,254.47739313402695
191,MALE,20,160.0
192,FEMALE,27,236.67603523228996
193,FEMALE,24,236.0841496947988
194,MALE,29,240.31935237414643
195,FEMALE,20,185.1802599080556
196,MALE,23,160.0
197,FEMALE,29,188.33564017260855
198,MALE,23,160.0
199,MALE,26,239.8785615023323
200,FEMALE,22,282.92997798502586
201,MALE,20,160.0
202,FEMALE,22,254.8622141199181
203,MALE,25,175.4914038849717
204,FEMALE,22,163.35098907664835
205,FEMALE,22,169.3751515222723
206,FEMALE,28,260.77107607257443
207,MALE,23,244.63319328626
208,FEMALE,21,221.1846486627929
209,FEMALE,21,207.78935274935276
210,FEMALE,28,197.82465386465725
211,FEMALE,26,192.0912102327975
212,FEMALE,28,240.96306689686
213,FEMALE,20,241.15035852387504
214,FEMALE,29,203.9628384610367
215,FEMALE,28,183.91957348914977
216,FEMALE,22,179.52790841615365
217,MALE,20,160.0
218,MALE,22,262.59197415327276
219,FEMALE,26,251.94987455901904
220,MALE,29,204.79744718618048
221,FEMALE,28,211.06507415942852
222,FEMALE,29,230.6873184460204
223,FEMALE,27,189.39859364362417
224,MALE,21,193.79131499169117
225,FEMALE,23,190.36294761258614
226,FEMALE,25,168.88409704847723
227,FEMALE,26,259.0264177782848
228,MALE,29,256.1130402397721
229,MALE,21,160.0
230,FEMALE,23,176.03554931062388
231,MALE,28,314.15666279192317
232,FEMALE,26,215.61046139651393
233,MALE,29,271.4992059603752
234,FEMALE,26,229.65938495581076
235,MALE,23,406.4862981203528
236,MALE,28,317.00523774967064
237,MALE,25,177.30276759101326
238,FEMALE,25,219.21407406251876
239,FEMALE,26,231.45925777601167
240,FEMALE,26,209.28086401129332
241,MALE,29,160.0
242,MALE,23,160.0
243,FEMALE,27,246.65816640772792
244,FEMALE,21,163.0322470204403
245,FEMALE,24,214.9004924033756
246,FEMALE,27,205.91183420016648
247,MALE,27,265.3342182024687
248,FEMALE,24,209.57014518388428
249,MALE,25,200.1107698678027
250,FEMALE,25,158.2027152139266
251,FEMALE,25,187.8777790792325
252,MALE,27,160.0
253,FEMALE,29,269.05620561532305
254,FEMALE,24,161.77251818280712
255,MALE,28,341.793526396925
256,FEMALE,26,215.5996315170774
257,MALE,25,333.6849743118366
258,FEMALE,28,271.1067146620163
259,FEMALE,26,203.66265689473744
260,FEMALE,26,181.80052178838986
261,FEMALE,21,176.27139422315142
262,MALE,21,389.36493001019466
263,FEMALE,21,179.43093238228255
264,FEMALE,24,243.71889767759382
265,FEMALE,20,210.4252885137566
266,MALE,24,160.0
267,MALE,26,209.99699645239858
268,FEMALE,28,220.44039032733548
269,FEMALE,25,182.27794356986624
270,FEMALE,21,204.60054029631954
271,MALE,27,350.02751853116223
272,MALE,26,205.08460322396667
273,FEMALE,21,171.2609098777517
274,FEMALE,28,267.5259718086572
275,FEMALE,24,231.91145609703267
276,MALE,21,274.86682223221186
277,MALE,23,160.0
278,MALE,28,329.2972755859497
279,FEMALE,29,256.08757231392553
280,FEMALE,22,187.17130925931784
281,MALE,26,160.0
282,FEMALE,20,202.75015236509103
283,,21,192.38177538840975
284,FEMALE,25,217.99770295541396
285,FEMALE,29,257.0155704451419
286,FEMALE,20,176.45320352209004
287,MALE,20,247.92205778505604
288,,28,220.80857979896325
289,FEMALE,21,207.22506931480615
290,MALE,23,191.0449107672324
291,FEMALE,24,229.3790305170914
292,MALE,24,188.4683353441688
293,FEMALE,28,276.37822792114935
294,FEMALE,26,212.25820444382222
295,FEMALE,21,194.45308653796002
